FID,STFID,OID_,AREA_HA,pop2000,hden2000,zoning
501,4.20E+14,0,2.2,19,4.55,3
502,4.20E+14,0,3,11,2,1
503,4.20E+14,0,4.3,55,5.12,2
504,4.20E+14,0,5.3,12,1.51,2
505,4.20E+14,0,1.1,5,5.45,1
506,4.20E+14,0,2.6,47,8.46,2
507,4.20E+14,0,2.7,89,15.93,3
508,4.20E+14,0,6.7,142,11.64,2
509,4.20E+14,0,0.6,20,20,2
510,4.20E+14,0,2.4,122,27.5,3
511,4.20E+14,0,2.4,64,17.5,3
512,4.20E+14,0,2.5,130,27.2,2
513,4.20E+14,0,0.4,3,7.5,2
514,4.20E+14,0,2.4,134,13.75,2
515,4.20E+14,0,2.6,60,15,1
516,4.20E+14,0,1.1,67,30,1
517,4.20E+14,0,1,33,20,1
518,4.20E+14,0,0.8,0,1.25,1
519,4.20E+14,0,5.3,0,0,1
520,4.20E+14,0,0.6,20,13.33,2
521,4.20E+14,0,1,10,4,2
522,4.20E+14,0,1.4,29,10.71,2
523,4.20E+14,0,2.5,98,16,3
524,4.20E+14,0,8.9,0,0,1
525,4.20E+14,0,5.4,13,1.67,2
526,4.20E+14,0,0.7,6,4.29,1
527,4.20E+14,0,0.6,14,13.33,1
528,4.20E+14,0,1.8,43,13.33,2
529,4.20E+14,0,0.7,9,7.14,2
530,4.20E+14,0,3.8,58,7.89,2
531,4.20E+14,0,0.3,0,0,1
532,4.20E+14,0,212.8,40,0.08,3
533,4.20E+14,0,189.7,23,0.06,3
534,4.20E+14,0,83.7,7,0.04,2
535,4.20E+14,0,34.3,16,0.12,2
536,4.20E+14,0,52.1,14,0.1,3
537,4.20E+14,0,62.2,11,0.1,1
538,4.20E+14,0,35.8,0,0,1
539,4.20E+14,0,219.8,14,0.03,1
540,4.20E+14,0,3.9,0,0,3
541,4.20E+14,0,0.8,0,0,3
542,4.20E+14,0,36.8,0,0,2
543,4.20E+14,0,119.8,20,0.05,3
544,4.20E+14,0,35.9,3,0.03,3
545,4.20E+14,0,60.5,8,0.05,1
546,4.20E+14,0,18.1,0,0,3
547,4.20E+14,0,19.7,8,0.15,2
548,4.20E+14,0,67,32,0.21,1
549,4.20E+14,0,197,12,0.04,2
550,4.20E+14,0,94.5,23,0.1,3
551,4.20E+14,0,50.5,19,0.14,3
552,4.20E+14,0,159.4,18,0.04,2
553,4.20E+14,0,49.3,6,0.08,1
